,Symbol,Name
540,290670,대보마그네틱
541,078140,대봉엘에스
542,065150,대산F&B
543,001680,대상
544,001685,대상우
545,084690,대상홀딩스
546,084695,대상홀딩스우
547,036480,대성미생물
548,128820,대성산업
549,117580,대성에너지
550,027830,대성창투
551,104040,대성파인텍
552,129920,대성하이텍
553,016710,대성홀딩스
554,438220,대신밸런스제13호스팩
555,442310,대신밸런스제14호스팩
556,457390,대신밸런스제15호스팩
557,457630,대신밸런스제16호스팩
558,471050,대신밸런스제17호스팩
559,478780,대신밸런스제18호스팩
560,020180,대신정보통신
561,003540,대신증권
562,003547,대신증권2우B
563,003545,대신증권우
564,045390,대아티아이
565,009190,대양금속
566,108380,대양전기공업
567,014160,대영포장
568,047040,대우건설
569,009320,대우부품
570,003090,대웅
571,069620,대웅제약
572,007680,대원
573,000430,대원강업
574,048910,대원미디어
575,005710,대원산업
576,006340,대원전선
577,006345,대원전선우
578,003220,대원제약
579,024890,대원화성
580,290380,대유
581,002880,대유에이텍
582,000300,대유플러스
583,120240,대정화금
584,003310,대주산업
585,114920,대주이엔티
586,078600,대주전자재료
587,012800,대창
588,015230,대창단조
589,096350,대창솔루션
590,140520,대창스틸
591,131220,대한과학
592,010170,대한광통신
593,054670,대한뉴팜
594,001070,대한방직
595,023910,대한약품
596,006650,대한유화
597,001440,대한전선
598,084010,대한제강
599,001790,대한제당
600,001795,대한제당우
601,001130,대한제분
602,003490,대한항공
603,003495,대한항공우
604,005880,대한해운
605,003830,대한화섬
606,016090,대현
607,069460,대호에이엘
608,021040,대호특수강
609,021045,대호특수강우
610,067080,대화제약
611,298540,더네이쳐홀딩스
612,032860,더라미
613,192080,더블유게임즈
614,393890,더블유씨피
615,299170,더블유에스아이
616,012510,더존비즈온
617,224060,더코디
618,302920,더콘텐츠온
619,043090,더테크놀로지
620,213420,덕산네오룩스
621,317330,덕산테코피아
622,077360,덕산하이메탈
623,004830,덕성
624,004835,덕성우
625,090410,덕신이피씨
626,024900,덕양산업
627,263600,덕우전자
628,194480,데브시스터즈
629,263800,데이타솔루션
630,199150,데이터스트림즈
631,206560,덱스터
632,261200,덴티스
633,145720,덴티움
634,227420,도부마스크
635,067990,도이치모터스
636,002150,도화엔지니어링
637,006620,동구바이오제약
638,100130,동국S&C
639,005160,동국산업
640,460850,동국씨엠
641,075970,동국알앤에스
642,460860,동국제강
643,086450,동국제약
644,001230,동국홀딩스
645,023450,동남합성
646,004140,동방
647,099410,동방선기
648,007590,동방아그로
649,005960,동부건설
650,005965,동부건설우
651,026960,동서
652,002210,동성제약
653,102260,동성케미컬
654,033500,동성화인텍
655,025950,동신건설
656,000640,동아쏘시오홀딩스
657,170900,동아에스티
658,088130,동아엘텍
659,028100,동아지질
660,282690,동아타이어
661,041930,동아화성
662,001520,동양
663,001527,동양2우B
664,084670,동양고속
665,082640,동양생명
666,060380,동양에스텍
667,001525,동양우
668,079960,동양이엔피
669,008970,동양철관
670,228340,동양파일
671,092780,동양피스톤
672,088910,동우팜투테이블
673,094170,동운아나텍
674,049770,동원F&B
675,013120,동원개발
676,018500,동원금속
677,006040,동원산업
678,030720,동원수산
679,014820,동원시스템즈
680,014825,동원시스템즈우
681,111380,동인기연
682,163560,동일고무벨트
683,109860,동일금속
684,032960,동일기연
